area trstprl trstlgl trstplt trstep trstun euftf imueclt imwbcnt
W 6 7 6 7 6 4 8 7
W 5 5 5 6 6 3 4 4
W 5 6 6 6 6 3 7 5
W 3 0 3 2 2 5 5 4
W 3 3 3 2 3 5 6 4
W 6 7 6 8 8 8 6 5
W 6 4 5 5 5 2 3 1
W 5 5 4 4 4 5 5 7
W 1 1 2 4 4 1 2 2
W 5 5 6 7 6 9 6 4
W 3 5 4 6 6 7 9 4
W 1 6 3 4 5 2 4 3
W 6 5 5 6 4 2 3 2
W 2 0 6 3 2 5 5 4
W 5 5 5 5 5 5 5 5
W 0 2 3 5 5 2 3 2
W 6 5 6 7 5 8 5 4
W 0 2 2 4 3 1 2 2
W 1 5 1 1 2 5 8 5
W 7 7 2 6 6 7 5 5
W 7 7 6 7 6 5 6 7
W 5 5 7 5 5 5 2 5
W 6 7 4 7 7 5 7 4
W 5 3 4 6 6 2 3 2
W 4 4 7 8 7 2 5 5
W 7 5 5 6 6 7 5 5
W 6 6 5 7 6 7 8 8
W 1 1 3 1 2 1 3 2
W 7 7 7 6 7 2 3 2
W 4 3 5 4 4 5 2 2
W 4 4 5 4 4 7 6 4
W 2 2 2 1 1 0 5 5
W 5 6 4 5 6 10 6 5
W 8 10 8 10 7 8 8 6
W 5 5 4 5 6 0 0 2
W 4 6 4 4 5 5 7 6
W 6 5 4 7 6 4 8 4
W 5 5 5 5 6 7 5 4
W 4 4 4 4 4 4 3 6
W 3 7 4 8 6 4 6 4
W 4 2 2 5 5 3 5 2
W 5 4 5 6 6 7 7 6
W 5 6 6 5 5 5 4 5
W 4 7 3 8 7 8 6 3
W 5 6 4 5 6 4 5 4
W 5 5 4 4 4 5 8 5
W 5 6 4 6 7 4 5 6
W 5 6 6 6 6 9 8 7
W 0 1 0 0 0 2 3 2
W 7 5 7 7 6 5 7 5
W 5 4 4 5 6 3 5 2
W 7 5 6 8 8 6 8 4
W 6 5 3 7 7 3 9 5
W 4 6 2 0 0 7 4 5
W 4 2 3 4 4 6 7 6
W 3 4 6 3 3 6 8 7
W 4 4 4 5 3 2 3 4
W 3 6 3 4 6 8 7 5
W 6 6 5 6 6 6 6 5
W 5 6 5 6 5 6 5 7
W 7 7 8 8 8 8 7 5
W 3 2 4 3 3 4 4 3
W 5 5 3 5 3 4 6 5
W 5 3 6 6 6 6 2 4
W 7 8 5 6 6 6 4 5
W 6 7 4 5 5 4 5 3
W 6 6 6 6 6 4 5 6
W 5 6 7 7 7 5 8 5
W 0 2 5 5 2 0 7 7
W 3 2 3 5 7 7 7 1
W 5 5 4 6 6 8 4 5
W 4 3 4 5 4 5 6 3
W 7 4 7 7 7 4 6 6
W 5 3 2 4 4 2 6 4
W 2 2 2 1 1 6 6 4
W 6 7 5 8 7 7 8 4
W 5 9 4 7 7 5 5 4
W 5 5 7 3 5 5 0 2
W 5 2 0 0 0 5 5 5
W 3 0 4 4 5 5 0 0
W 7 8 6 8 6 6 7 5
W 7 7 6 7 5 2 4 2
W 5 7 6 8 8 8 10 8
W 6 7 6 9 8 7 9 4
W 5 3 6 5 6 6 8 6
W 5 5 5 6 7 8 7 5
W 7 4 7 8 8 8 5 6
W 6 6 6 6 6 7 8 6
W 2 3 5 8 4 6 0 0
W 5 3 4 5 5 8 9 7
W 6 7 4 6 6 1 5 2
W 5 7 6 6 4 1 3 3
W 5 3 4 1 2 4 4 4
W 5 4 5 5 7 7 5 5
W 6 5 6 7 6 7 7 6
W 6 6 5 6 6 6 6 6
W 6 6 6 7 7 6 6 5
W 2 4 1 4 3 3 3 1
W 3 5 4 6 8 5 5 2
W 7 9 9 8 7 8 6 6
W 4 2 3 6 6 2 3 3
W 2 6 3 5 6 6 7 5
W 2 7 6 6 6 6 7 7
W 2 6 4 4 4 4 7 5
W 2 8 5 7 7 3 7 5
W 6 5 6 6 7 9 8 3
W 3 3 2 2 3 3 3 3
W 5 0 5 5 7 0 7 3
W 5 8 6 7 6 7 8 5
W 7 3 6 7 7 3 3 3
